#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1750194805481344512,0.00036404762272379543,-0.001782646716080194,-0.000142237465694528,0.9999999351786564,-0.00012367817862459404,6.701741417159741e-05,-0.0003314438976162091
1750194805605772288,0.00037479438071486015,-0.0018248498447137607,-0.00014269699833180383,0.9999999320603252,-0.0001274561124345673,6.555952422526635e-05,-0.0003396118855886047
1750194805832500736,0.00038149776881635233,-0.001874860973619441,-0.00015087806499414214,0.9999999282574977,-0.00013483924350651873,6.993694078903354e-05,-0.00034700461374688365
1750194805957757184,0.00039095878311723453,-0.0019344030927195277,-0.0001565118439077473,0.9999999263375671,-0.00013709002111218446,6.444680237294959e-05,-0.00035267236393886884
1750194806187534592,0.00039941365101991977,-0.0019930033493276156,-0.00016072338501604833,0.9999999246799361,-0.00013455432384459326,6.026595918461291e-05,-0.00035903101553482337
1750194806311902208,0.0004070201195958134,-0.002048279491980054,-0.00016621770897184973,0.9999999217622031,-0.00013928965319618102,5.943290055864579e-05,-0.0003654335928973042
1750194806539580416,0.00041309144301671097,-0.0021067892263415544,-0.0001706566412296162,0.9999999227580746,-0.00013784106683864357,5.430266859223192e-05,-0.00036405343767557035
1750194806662142208,0.0004212387158810671,-0.0021637894671560076,-0.00017450670996632667,0.9999999239598717,-0.00014692807231573437,4.7104954725874945e-05,-0.00035815292222538014
1750194806891367424,0.00043016370578463636,-0.0022134892475831336,-0.0001806028997339837,0.9999999229577294,-0.00015395935538894604,4.12504743246143e-05,-0.0003587191806141422
1750194807014194432,0.0004379307975579394,-0.0022661992465389247,-0.00019275887914771417,0.9999999196336217,-0.00016658469427631073,4.552870846521665e-05,-0.00036181407792965157
1750194807243644416,0.00044879208581161123,-0.002322818752995559,-0.00019865807113639278,0.9999999188242226,-0.00017485576385706012,3.8891589499571984e-05,-0.00036092167335015346
1750194807369250304,0.00045679668054621203,-0.002363659365784976,-0.00020307892160609242,0.9999999201838788,-0.00018099162340662155,3.267915063791639e-05,-0.0003546918962198528
1750194807601322240,0.0004665146073437043,-0.0024122895461617944,-0.00021056148399356545,0.9999999194135574,-0.00019059153715516238,2.8593600339427176e-05,-0.00035217914611105705
1750194807726009856,0.0004733957422615731,-0.00245803104342901,-0.00021940597853298272,0.9999999183477355,-0.0002078493851804519,2.5318323108251052e-05,-0.0003456329527818299
1750194807951603712,0.0004834591167304225,-0.002510483213524317,-0.0002260315284177139,0.9999999165211493,-0.00021783679926442188,1.8583557202102317e-05,-0.0003451948353865981
1750194808076475136,0.0004903318143467672,-0.0025620740293135214,-0.00023336642812665787,0.9999999167950341,-0.00022654668818879642,1.1502136824806364e-05,-0.00033904899909005314
1750194808304156160,0.0004988166298511842,-0.0026212032434855814,-0.00024260211116233776,0.9999999119275937,-0.00023904002623534245,1.21635741776079e-05,-0.0003447560266275799
1750194808426401024,0.0005072489110622413,-0.002672394823600044,-0.00025037705337993543,0.9999999111953721,-0.00024181890047465863,4.459649964927931e-06,-0.00034512748198983973
1750194808655401216,0.0005137461613893279,-0.002722994719928984,-0.0002616313547556537,0.999999906399448,-0.00024821721434529684,7.664918140753184e-06,-0.00035430291891261416
1750194808778999808,0.0005199085021114769,-0.0027693441366585247,-0.000269182898143594,0.9999999040085041,-0.00025455515133832035,9.383657721394773e-06,-0.0003565061067924532
1750194809005739520,0.0005264414582173416,-0.002828162741179696,-0.0002820834153207663,0.9999998990348579,-0.0002603951206942532,1.1470427991104327e-05,-0.00036605065812307343
1750194809128335616,0.0005362030419133745,-0.0028752870832011723,-0.00028817423135318876,0.9999998964790683,-0.00026817955687804363,6.397770152690517e-06,-0.0003675331906669892
1750194809358833920,0.0005392404572690523,-0.002914745220650161,-0.00029822361584841417,0.9999998922218688,-0.0002775317356674804,9.810363585560496e-06,-0.00037207007808243636
1750194809480673792,0.0005484230948642477,-0.0029674034394808757,-0.00030169872883556437,0.9999998918025929,-0.00028354611034101445,2.2160213947509165e-07,-0.0003687768388547258
1750194809707045888,0.0005550925828474718,-0.003016039102642587,-0.0003079769669720456,0.9999998894701067,-0.00029044096423018397,2.5991770865003596e-07,-0.0003697347070137063
1750194809831067904,0.0005624834980624271,-0.0030619453401010688,-0.00031723101257075115,0.9999998867131896,-0.000297309150409845,5.819047591080257e-06,-0.00037168133600108916
1750194810055930368,0.0005692436621504982,-0.0031112606623491246,-0.0003292299497892337,0.9999998821416475,-0.00030556656926855716,4.920572959534481e-06,-0.00037725528596107487
1750194810177337344,0.0005763460045757896,-0.003180781871080285,-0.0003471098587417565,0.9999998724263218,-0.000314338235909485,1.607876202931193e-05,-0.00039506997707699354
1750194810406886400,0.0005835026400742294,-0.0032335911608480927,-0.000354156384401616,0.9999998681752619,-0.00032104231734159957,1.2462531537877563e-05,-0.00040053211416246783
1750194810532125952,0.0005889566726535733,-0.003283480034979469,-0.00036394173723808265,0.999999863074269,-0.00032769330589859714,1.4997729168079541e-05,-0.0004077298226061363
1750194810758484736,0.0005982439387439697,-0.00333672073099045,-0.0003689954395182937,0.9999998611946307,-0.00033716387953693224,7.76497784903026e-06,-0.00040480976145717916
1750194810883134208,0.0006056009538397689,-0.0033812515027049628,-0.0003763466565911422,0.9999998593027596,-0.0003406507427607184,5.366442688695458e-06,-0.00040659898387749736
1750194811111499264,0.0006142251773466612,-0.003430013883288119,-0.0003829166953912555,0.9999998597200813,-0.00034616729523163827,7.540645905661341e-08,-0.0004009089867659462
1750194811236302080,0.0006232989908419029,-0.0034793055027444453,-0.00038566075399293354,0.9999998591448744,-0.0003536831394967489,-6.115517424580955e-06,-0.00039570325835699456
1750194811462651648,0.0006305085018274426,-0.003527212449852435,-0.00039155993251860366,0.9999998586237895,-0.0003590156104411291,-9.430165456430047e-06,-0.00039213679288931954
1750194811587026688,0.0006397529383921352,-0.0035729942355278155,-0.00039994485019079207,0.9999998538127514,-0.0003654853807992467,-9.434353390244544e-06,-0.0003983790977467727
1750194811816241408,0.0006479072829872479,-0.003632594706306058,-0.00040690401882503835,0.999999853771827,-0.0003698114209950017,-1.0714463525278774e-05,-0.0003944376221053542
1750194811939452160,0.0006523301464422815,-0.003689609724617071,-0.00041621679250347654,0.9999998465606088,-0.00037902203055352305,-8.974750065525714e-06,-0.0004039065649176277
1750194812165776128,0.0006523140018970253,-0.0037500315620784264,-0.0004288517850641327,0.9999998368174564,-0.00038245445496311694,-2.5348323227074457e-06,-0.000424366851818321
1750194812289733632,0.0006562166450931883,-0.0037925327393502073,-0.0004374329117280418,0.9999998319487335,-0.00038887499466020754,2.0478306205460163e-06,-0.0004299704057513377
