#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1749296824571370240,1.5466774441350575,-4.63792193531289,0.2971545224043992,0.7073224313271516,-0.0015543007614339478,0.006552013615958954,0.7068589911772827
1749296824630400256,1.5466288303936904,-4.630599679981811,0.2967945556606293,0.705729033952261,-0.0013356365035451154,0.006578211792929165,0.7084500503504433
1749296824784523264,1.5463561090158224,-4.62342437664711,0.2962722166492924,0.7045222506262014,-0.0007432697332843979,0.007145407152604335,0.7096455376308084
1749296824844000512,1.5459034820488107,-4.616301534663194,0.29556129714708845,0.7037853423766914,0.0008008850373497581,0.00872759198489221,0.7103586274390039
1749296825001707776,1.545792842918818,-4.609326671815277,0.29489453888720485,0.7032956142439188,0.0020406713927329178,0.010246473357987926,0.71082074001063
1749296825062368000,1.5460119166288497,-4.602343463836147,0.29538571043855155,0.7031880596881044,0.0027971962953355824,0.011611539134108746,0.7109035803566482
1749296825216876544,1.5464114813416967,-4.595386581261405,0.29611340781583184,0.7032743962481374,0.0030925094780088385,0.012600662246015536,0.7108001007863659
1749296825274443264,1.5471634522848956,-4.588515586737089,0.2973005014203962,0.7033774476008738,0.0020956243041204774,0.012697734750695792,0.710700036652213
1749296825428360448,1.5482634694284076,-4.5821415444942355,0.2985290667398819,0.7031814479872488,-0.0006469840178592464,0.011474913930527792,0.7109175472363329
1749296825484894464,1.5493761250781355,-4.576286493018939,0.30086749039932137,0.7021147322684868,-0.004964781409355182,0.008940028007087597,0.7119903999186649
1749296825635328512,1.5497677043851428,-4.570744264663347,0.3036840047967124,0.700077698173502,-0.009567429849815482,0.006393930810521564,0.7139739480225801
1749296825688707584,1.549698555823483,-4.565962217930031,0.3047180900794282,0.6979113533797321,-0.01385552508125893,0.004336197461561402,0.7160369855251664
1749296825843740672,1.548352047487044,-4.560926267947197,0.30444012130817066,0.6967921275189655,-0.015077960332040173,0.005184613698160997,0.7170958833521638
1749296825901403904,1.54585464750796,-4.555741512823307,0.3027631038410177,0.6963782880634355,-0.012782127255129686,0.009119798713437986,0.7175031194413716
1749296826058350080,1.5441453553169504,-4.550522653379732,0.30091988593557106,0.6959070253937438,-0.010357835116943053,0.013089442873808163,0.7179378759646092
1749296826117555968,1.5437607228046883,-4.544517556283078,0.3001951545795718,0.6948258852164838,-0.00961237728925855,0.015383750616101768,0.7189491857238314
1749296826274541824,1.5440568005346083,-4.537779557193662,0.30051988440846067,0.6929084744455043,-0.011029777832776266,0.01585172837198814,0.720766892101867
1749296826333106688,1.544595145190066,-4.5311818195165,0.3010609442160459,0.6902878112204167,-0.014087392088214374,0.014804947283747101,0.7232462212833225
1749296826488354048,1.5449529068947432,-4.524718360777825,0.3020021523417218,0.6869392764686194,-0.01738315636443427,0.013605813791412586,0.7263794725559451
1749296826548668416,1.5452467245158332,-4.518738793875839,0.302419053787804,0.6840681902327871,-0.019734931957644593,0.01315365272443323,0.729032389535795
1749296826706938368,1.5448019491618532,-4.512615504354951,0.30187227058099086,0.6821164472142786,-0.020147307363438595,0.014558673098401198,0.7308209654103988
1749296826765243904,1.5437727964523926,-4.506268494901775,0.3009605437483929,0.6807022389895151,-0.018754973268302718,0.017349014905858724,0.7321145569473143
1749296826926217472,1.5428337451688665,-4.499650067900407,0.2999860588787171,0.6795036795111704,-0.016697364156498896,0.020792368786491013,0.7331873055101625
1749296826984339712,1.5423469641592202,-4.492916198582565,0.29895335998530603,0.6780488215482698,-0.015375072119268604,0.02371653131594123,0.7344732322533409
1749296827143175168,1.542027596536455,-4.485910311042337,0.29826364512564885,0.676564109009144,-0.014519671165209856,0.026346507873490063,0.7357690174727319
1749296827199513856,1.5418969735773196,-4.478548146650529,0.2978867252655961,0.6752747416264233,-0.014394727198876947,0.0282005085028076,0.736886386405951
